score,title,type,genres,studios,main_actors
7.08,Yumekui_Merry,TV,Action Shounen Supernatural,Pony_Canyon TBS Magic_Capsule Houbunsha Sentai_Filmworks J.C.Staff,Okamoto_Nobuhiko Sakura_Ayane 
8.28,Yowamushi_Pedal:_Grande_Road,TV,Comedy Drama Shounen Sports,TOHO_animation Discotek_Media TMS_Entertainment,Toriumi_Kousuke Fujimura_Ayumi Fukushima_Jun Yamashita_Daiki 
7.32,Young_Black_Jack,TV,Drama Historical Seinen,TBS Grooove Being Sentai_Filmworks Tezuka_Productions,Umehara_Yuuichirou Itou_Shizuka Yusa_Kouji 
8.16,Yowamushi_Pedal,TV,Comedy Sports Drama Shounen,TOHO_animation Discotek_Media TMS_Entertainment,Toriumi_Kousuke Fukushima_Jun Yamashita_Daiki 
7.21,Yami_Shibai,TV,Dementia Horror Supernatural,TV_Tokyo Sentai_Filmworks ILCA,Tsuda_Kanji 
7.90,Yamada-kun_to_7-nin_no_Majo_(TV),TV,Harem Mystery Comedy Supernatural Romance School Shounen,Crunchyroll LIDENFILMS,Uchida_Maaya Masuda_Toshiki Kitamura_Eri Hayami_Saori Osaka_Ryota 
7.59,Yamada-kun_to_7-nin_no_Majo_(OVA),OVA,Comedy Romance School Shounen,LIDENFILMS,Uchida_Maaya Masuda_Toshiki Kitamura_Eri Hayami_Saori Osaka_Ryota 
7.38,Yamada-kun_to_7-nin_no_Majo,ONA,Comedy School Shounen Supernatural,Kodansha LIDENFILMS,Hayami_Saori Osaka_Ryota 
6.54,Yami_Shibai_2nd_Season,TV,Dementia Horror Supernatural,Sentai_Filmworks ILCA,Tsuda_Kanji 
8.31,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru._Zoku,TV,Comedy Drama Romance School,TBS Marvelous_AQL NBCUniversal_Entertainment_Japan Sentai_Filmworks feel.,Eguchi_Takuya Sakura_Ayane Touyama_Nao Hayami_Saori 
7.61,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru._OVA,OVA,Comedy Romance School,Brain,s_Base 
8.12,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru.,TV,Comedy Drama Romance School,Geneon_Universal_Entertainment TBS Delfi_Sound Marvelous_AQL Atelier_Musa Sentai_Filmworks Brain,s_Base 
7.52,WWW.Working!!,TV,Slice_of_Life Comedy,Aniplex Yomiuri_Telecasting_Corporation Lawson A-1_Pictures,Uchiyama_Kouki Nakamura_Yuuichi Amamiya_Sora Mizuki_Nana Shimono_Hiro Tomatsu_Haruka Hikasa_Yoko Ono_Kensho 
7.75,World_Trigger,TV,Action Sci-Fi Supernatural School Shounen,TV_Asahi Toei_Animation,Tamura_Nao Nakamura_Yuuichi Muranaka_Tomo Kaji_Yuki 
6.24,Wolverine,TV,Action Martial_Arts Super_Power,Marvel_Entertainment Madhouse,Koyama_Rikiya Park_Romi 
7.29,Watashi_ga_Motenai_no_wa_Dou_Kangaetemo_Omaera_ga_Warui!,TV,Comedy School Shounen Slice_of_Life,Media_Factory MediaNet AT-X DAX_Production Sony_Music_Communications Bushiroad Good_Smile_Company Sentai_Filmworks Silver_Link.,Kitta_Izumi 
7.01,Wakaba*Girl,TV,Comedy School Slice_of_Life,Showgate NBCUniversal_Entertainment_Japan Sentai_Filmworks Nexus,Ozawa_Ari Ichimichi_Mao Murakawa_Rie Izawa_Mikako 
5.48,Wagamama_High_Spec,TV,Comedy School,Hobi_Animation AXsiZ,Ousaki_Chiyo Gotou_Mai Honda_Mariko Sakuragawa_Megu 
7.31,ViVid_Strike!,TV,Action Drama Magic,KlockWorx Sony_Music_Communications Glovision King_Records Seven_Arcs_Pictures,Ogura_Yui Minase_Inori Noto_Mamiko Mizuhashi_Kaori 
7.35,Utawarerumono:_Itsuwari_no_Kamen,TV,Action Drama Fantasy,KlockWorx Toranoana AQUAPLUS ensky King_Records Sentai_Filmworks White_Fox,Fujiwara_Keiji Taneda_Risa 
6.33,Ushio_to_Tora:_Comically_Deformed_Theater,OVA,Action Comedy,OB_Planning Toshiba_EMI Toho Studio_Jack Shogakukan ADV_Films Pastel,Sasaki_Nozomu Otsuka_Chikao 
8.13,Ushio_to_Tora_(TV)_2nd_Season,TV,Comedy Demons Supernatural Shounen,Showgate Sentai_Filmworks MAPPA Studio_VOLN,Hatanaka_Tasuku Komatsu_Mikako Koyama_Rikiya 
7.71,Ushio_to_Tora_(TV),TV,Action Adventure Comedy Demons Shounen Supernatural,Sotsu Showgate Sentai_Filmworks MAPPA Studio_VOLN,Hatanaka_Tasuku Togashi_Kazumi Yasuno_Kiyono Komatsu_Mikako Koyama_Rikiya 
7.23,Ushio_to_Tora,OVA,Action Comedy Horror,OB_Planning Toshiba_EMI Toho Shogakukan ADV_Films Pastel,Sasaki_Nozomu Touma_Yumi Amano_Yuri Otsuka_Chikao 
5.45,Urawa_no_Usagi-chan,TV,Comedy School Slice_of_Life,Grooove Glovision Harappa A-Real,Kubota_Miyu Akesaka_Satomi Tamura_Nao Ookubo_Rumi Watanabe_Keiko Tojo_Hisako Taichi_You Seto_Asami 
6.63,Upotte!!,ONA,Action Comedy Military Seinen,DAX_Production Nippon_Columbia Sentai_Filmworks Xebec,Nomizu_Iori Misato Togashi_Misuzu Sadohara_Kaori 
7.67,Udon_no_Kuni_no_Kiniro_Kemari,TV,Slice_of_Life Fantasy Seinen,VAP Nippon_Television_Network_Corporation Nippon_Television_Music_Corporation Nishinippon_Broadcasting_Company Dai_Nippon_Printing Shinchosha_Publishing LIDENFILMS,Kokido_Shiho Nakamura_Yuuichi 
7.70,Uchuu_Patrol_Luluco,TV,Action Adventure Comedy Space,Half_H.P_Studio AT-X flying_DOG Ultra_Super_Pictures Good_Smile_Company bilibili Crunchyroll Trigger,Ichimichi_Mao Shintani_Mayumi Enoki_Junya 
7.43,Trinity_Seven,TV,Action Comedy Ecchi Fantasy Harem Magic Romance School Shounen Supernatural,TV_Tokyo Avex_Entertainment Sotsu Plum Sentai_Filmworks Seven_Arcs_Pictures,Hara_Yumi Yuzuki_Ryouka Uchida_Aya Matsuoka_Yoshitsugu Sakura_Ayane Murakawa_Rie Touyama_Nao Hikasa_Yoko 
6.92,Tsukiuta._The_Animation,TV,Music,FUNimation_Entertainment Studio_Pierrot,Hatano_Wataru Kakihara_Tetsuya Tanaka_Manami Ono_Kensho Masuda_Toshiki Aoi_Shouta Toriumi_Kousuke Kondou_Takashi Satou_Miyuki KENN Kimura_Ryouhei Kaji_Yuki Hosoya_Yoshimasa Maeno_Tomoaki 
6.61,"Trickster:_Edogawa_Ranpo_""Shounen_Tanteidan""_yori ",TV,Mystery,Bandai_Visual Yomiuri_Telecasting_Corporation Lantis Asmik_Ace_Entertainment East_Japan_Marketing_&_Communications Sumitomo_Corporation FUNimation_Entertainment TMS_Entertainment Shin-Ei_Animation,Osaka_Ryota Gackt Yamashita_Daiki 
7.44,Trinity_Blood,TV,Action Supernatural Vampire,FUNimation_Entertainment Gonzo,Noto_Mamiko Minagawa_Junko Nakai_Kazuya Touchi_Hiroki Honda_Takako 
6.89,Touken_Ranbu:_Hanamaru,TV,Action Slice_of_Life Comedy Historical Drama Fantasy,Marvelous_Entertainment Nitroplus Delfi_Sound TOHO_animation Good_Smile_Company DMM.com FUNimation_Entertainment Doga_Kobo,Masuda_Toshiki Ichiki_Mitsuhiro 
8.45,Toradora!,TV,Slice_of_Life Comedy Romance School,Genco Starchild_Records Magic_Capsule Yomiuri_Advertising TV_Tokyo_Music NIS_America,_Inc. J.C.Staff,Kugimiya_Rie Kitamura_Eri Nojima_Hirofumi Horie_Yui Majima_Junji 
7.77,Tonari_no_Kaibutsu-kun,TV,Slice_of_Life Comedy Romance School Shoujo,TV_Tokyo Aniplex Nihon_Ad_Systems Kodansha NIS_America,_Inc. Brain,s_Base 
7.80,Tokyo_Ravens,TV,Comedy Super_Power Supernatural School Shounen,Geneon_Universal_Entertainment Movic Bushiroad Showgate Tokyo_MX FUNimation_Entertainment 8bit,Kimura_Ryouhei Hanazawa_Kana Taneda_Risa Ishikawa_Kaito 
7.52,Tokyo_Ghoul_√A,TV,Action Mystery Horror Psychological Supernatural Drama Seinen,FUNimation_Entertainment Studio_Pierrot,Hanae_Natsuki Amamiya_Sora 
8.07,Tokyo_Ghoul,TV,Action Mystery Horror Psychological Supernatural Drama Seinen,Marvelous_AQL TC_Entertainment FUNimation_Entertainment Studio_Pierrot,Kobori_Yurie Hanae_Natsuki Amamiya_Sora 
6.64,Tokyo_ESP,TV,Action Comedy Sci-Fi Shounen Super_Power Supernatural,Lantis Rakuonsha KlockWorx Tokyo_MX FUNimation_Entertainment Xebec,Tamura_Mutsumi Koumoto_Keisuke Kido_Ibuki 
7.20,Toaru_Majutsu_no_Index:_Endymion_no_Kiseki_Special,Special,Action Magic Sci-Fi Super_Power,Geneon_Universal_Entertainment J.C.Staff,Abe_Atsushi Iguchi_Yuka Misawa_Sachika 
7.71,Toaru_Majutsu_no_Index:_Endymion_no_Kiseki,Movie,Action Sci-Fi Super_Power Magic,Geneon_Universal_Entertainment Square_Enix AT-X Warner_Bros. ASCII_Media_Works FUNimation_Entertainment J.C.Staff,Abe_Atsushi Iguchi_Yuka Misawa_Sachika Hikasa_Yoko 
7.14,Toaru_Majutsu_no_Index-tan_II,Special,Comedy Parody,J.C.Staff,Abe_Atsushi Iguchi_Yuka 
7.11,Toaru_Majutsu_no_Index-tan,Special,Comedy Parody,J.C.Staff,Abe_Atsushi Iguchi_Yuka Satou_Rina 
7.84,Toaru_Majutsu_no_Index_II,TV,Action Sci-Fi Super_Power Magic,Geneon_Universal_Entertainment Square_Enix AT-X ASCII_Media_Works Delfi_Sound FUNimation_Entertainment J.C.Staff,Okamoto_Nobuhiko Abe_Atsushi Iguchi_Yuka Satou_Rina 
7.69,Toaru_Majutsu_no_Index,TV,Action Magic Sci-Fi Super_Power,Geneon_Universal_Entertainment Square_Enix AT-X ASCII_Media_Works Kadokawa_Contents_Gate FUNimation_Entertainment J.C.Staff,Abe_Atsushi Iguchi_Yuka 
7.11,Toaru_Majutsu_no_Index_10th_Anniversary_PV,Special,Action Comedy Magic Sci-Fi Super_Power,ASCII_Media_Works J.C.Staff,Abe_Atsushi Iguchi_Yuka Satou_Rina 
7.56,Toaru_Kagaku_no_Railgun:_Misaka-san_wa_Ima_Chuumoku_no_Mato_desukara,OVA,Action Sci-Fi Super_Power,Geneon_Universal_Entertainment Movic AT-X ASCII_Media_Works Project_Railgun J.C.Staff,Satou_Rina Itou_Kanae Arai_Satomi Toyosaki_Aki 
6.93,Toaru_Kagaku_no_Railgun:_Entenka_no_Satsuei_Model_mo_Raku_Ja_Arimasen_wa_ne.,OVA,Comedy Ecchi,J.C.Staff,Satou_Rina Itou_Kanae Arai_Satomi Toyosaki_Aki 
8.16,Toaru_Kagaku_no_Railgun_S,TV,Action Sci-Fi Super_Power,Geneon_Universal_Entertainment Movic AT-X Warner_Bros. ASCII_Media_Works FUNimation_Entertainment J.C.Staff,Satou_Rina Itou_Kanae Arai_Satomi Toyosaki_Aki 
7.87,Toaru_Kagaku_no_Railgun,TV,Action Sci-Fi Super_Power,Geneon_Universal_Entertainment Movic AT-X ASCII_Media_Works Project_Railgun FUNimation_Entertainment J.C.Staff,Satou_Rina Itou_Kanae Arai_Satomi Toyosaki_Aki 
7.51,To_LOVE-Ru_OVA,OVA,Comedy Ecchi Harem School Sci-Fi Shounen,Shueisha Xebec,Tomatsu_Haruka Yahagi_Sayuri Watanabe_Akeno 
7.82,To_LOVE-Ru_Darkness_OVA,OVA,Sci-Fi Harem Comedy Romance Ecchi School Shounen,Xebec,Toyosaki_Aki Fukuen_Misato Nazuka_Kaori Yahagi_Sayuri Watanabe_Akeno 
7.80,To_LOVE-Ru_Darkness_2nd,TV,Comedy Ecchi Harem Romance School Sci-Fi Shounen,Magic_Capsule Sentai_Filmworks Xebec,Toyosaki_Aki Fukuen_Misato Iguchi_Yuka Watanabe_Akeno 
7.82,To_LOVE-Ru_Darkness,TV,Comedy Ecchi Harem Romance School Sci-Fi Shounen,Geneon_Universal_Entertainment Magic_Capsule Sentai_Filmworks Xebec,Toyosaki_Aki Fukuen_Misato Iguchi_Yuka Watanabe_Akeno 
7.34,To_LOVE-Ru,TV,Comedy Ecchi Harem Romance School Sci-Fi,Geneon_Universal_Entertainment TBS Sentai_Filmworks Xebec,Tomatsu_Haruka Yahagi_Sayuri Watanabe_Akeno 
6.60,To_Be_Hero,TV,Comedy,Emon Haoliners_Animation_League,Tsuda_Kenjirou 
6.68,Time_Travel_Shoujo:_Mari_Waka_to_8-nin_no_Kagakusha-tachi,TV,Sci-Fi Adventure,TV_Tokyo Studio_Mausu FUNimation_Entertainment WAO_World,Toyosaki_Aki Kotobuki_Minako 
7.88,The_Last:_Naruto_the_Movie,Movie,Action Martial_Arts Romance Shounen Super_Power,TV_Tokyo Shueisha Viz_Media Studio_Pierrot,Nakamura_Chie Mizuki_Nana Morikubo_Showtaro Fukuyama_Jun Hino_Satoshi Takeuchi_Junko 
7.27,Terra_Formars:_Bugs_2-hen,OVA,Action Horror Sci-Fi Space,Warner_Bros. Ultra_Super_Pictures MAGES. Good_Smile_Company Animatic LIDENFILMS,Kiuchi_Hidenobu 
6.91,Terra_Formars_Revenge,TV,Action Drama Horror Sci-Fi Seinen Space,Warner_Bros. Ultra_Super_Pictures MAGES. Good_Smile_Company Shueisha Kyoraku_Industrial_Holdings Animatic Viz_Media TYO_Animations LIDENFILMS,Ishizuka_Unshou Itou_Shizuka Hosoya_Yoshimasa Kiuchi_Hidenobu 
7.14,Terra_Formars,TV,Action Drama Horror Sci-Fi Seinen Space,Warner_Bros. Ultra_Super_Pictures MAGES. Good_Smile_Company Animatic Viz_Media LIDENFILMS,Ishizuka_Unshou Itou_Shizuka Ishikawa_Kaito Hosoya_Yoshimasa KENN Kiuchi_Hidenobu 
8.78,Tengen_Toppa_Gurren_Lagann,TV,Action Adventure Comedy Mecha Sci-Fi,TV_Tokyo Aniplex Dentsu Konami Half_H.P_Studio Bandai Bandai_Entertainment Aniplex_of_America Gainax,Konishi_Katsuyuki Inoue_Marina Sugou_Takayuki Kakihara_Tetsuya Fukui_Yukari 
7.56,Tasogare_Otome_x_Amnesia:_Taima_Otome,Special,Horror Mystery Romance School Shounen Supernatural,Sentai_Filmworks Silver_Link.,Hara_Yumi Kitamura_Eri Yonaga_Tsubasa Fukuen_Misato 
7.95,Tasogare_Otome_x_Amnesia,TV,Horror Mystery Romance School Shounen Supernatural,Square_Enix Media_Factory Tasogare_Otome×Amnesia_Production_Partners Sentai_Filmworks Silver_Link.,Hara_Yumi Kitamura_Eri Yonaga_Tsubasa Fukuen_Misato 
6.26,Tantei_Team_KZ_Jiken_Note,TV,Mystery School,Signal._MD,Ichiki_Mitsuhiro Terashima_Takuma Tatsumi_Yuiko Nishiyama_Koutarou Saito_Soma 
8.10,Tanaka-kun_wa_Itsumo_Kedaruge,TV,Slice_of_Life Comedy School,Lantis Shochiku Sentai_Filmworks Silver_Link.,Hosoya_Yoshimasa Ono_Kensho 
8.11,Tamayura:_Sotsugyou_Shashin_Part_4_-_Ashita,Movie,Comedy Drama Slice_of_Life,Shochiku flying_DOG TYO_Animations,Asumi_Kana Iguchi_Yuka Gibu_Yuko Taketatsu_Ayana 
7.88,Tamayura:_Sotsugyou_Shashin_Part_3_-_Akogare,Movie,Comedy Drama Slice_of_Life,Shochiku flying_DOG TYO_Animations,Asumi_Kana Iguchi_Yuka Gibu_Yuko Taketatsu_Ayana 
7.85,Tamayura:_Sotsugyou_Shashin_Part_2_-_Hibiki,Movie,Comedy Drama Slice_of_Life,Shochiku flying_DOG TYO_Animations,Asumi_Kana Iguchi_Yuka Gibu_Yuko Taketatsu_Ayana 
7.69,Tamayura:_Sotsugyou_Shashin_Part_1_-_Kizashi,Movie,Comedy Drama Slice_of_Life,Shochiku flying_DOG TYO_Animations,Asumi_Kana Iguchi_Yuka Gibu_Yuko Taketatsu_Ayana 
7.49,Tamayura:_More_Aggressive_-_Tsuitachi_dake_no_Shuugakuryokou,_Nanode,Special,Comedy Drama Slice_of_Life,TYO_Animations,Asumi_Kana Kayano_Ai Iguchi_Yuka Gibu_Yuko Taketatsu_Ayana 
7.54,Tamayura:_More_Aggressive,TV,Comedy Drama Slice_of_Life,TYO_Animations,Asumi_Kana Kayano_Ai Iguchi_Yuka Gibu_Yuko Taketatsu_Ayana 
7.44,Tamayura:_Hitotose_-_Attakai_Kaze_no_Omoide,_Nanode,Special,Comedy Drama Slice_of_Life,TYO_Animations,Asumi_Kana Iguchi_Yuka Gibu_Yuko Taketatsu_Ayana 
7.32,Tamayura:_Hitotose,TV,Slice_of_Life Comedy Drama,BIGLOBE Nozomi_Entertainment TYO_Animations,Asumi_Kana Iguchi_Yuka Gibu_Yuko Taketatsu_Ayana 
7.23,Tamayura,OVA,Slice_of_Life Comedy Drama,Shochiku TYO_Animations flying_DOG BIGLOBE Nozomi_Entertainment Hal_Film_Maker,Asumi_Kana Iguchi_Yuka Gibu_Yuko Taketatsu_Ayana 
7.36,Tamako_Market,TV,Slice_of_Life Comedy,Animax Pony_Canyon TBS Animation_Do Sentai_Filmworks Kyoto_Animation,Yamashita_Yurie Suzaki_Aya Nagatsuma_Juri Yamazaki_Takumi Tamaru_Atsushi Kaneko_Yuuki 
7.60,Tales_of_Zestiria_the_X,TV,Action Adventure Fantasy,Bandai_Visual Lantis Bandai_Namco_Entertainment Anime_Consortium_Japan FUNimation_Entertainment ufotable,Kayano_Ai Fukuen_Misato Shitaya_Noriko Osaka_Ryota Kimura_Ryouhei 
7.37,Takanashi_Rikka_Kai:_Chuunibyou_demo_Koi_ga_Shitai!_Movie,Movie,Comedy Drama Romance School Slice_of_Life,Kyoto_Animation,Akasaki_Chinatsu Uchida_Maaya Fukuyama_Jun Asakura_Azumi 
7.05,Taimadou_Gakuen_35_Shiken_Shoutai,TV,Action Ecchi Fantasy Harem Military Romance Supernatural,MAGES. FUNimation_Entertainment Silver_Link.,Hosoya_Yoshimasa Nomizu_Iori Itou_Kanae Ueda_Reina Ookubo_Rumi Shiraishi_Ryoko 
6.11,Taboo_Tattoo,TV,Action Comedy Martial_Arts Mystery Super_Power Supernatural,Magic_Capsule DIVE_II_Entertainment J.C.Staff,Furukawa_Makoto Nanami_Karin Komatsu_Mikako 
7.82,Sword_Art_Online,TV,Action Adventure Fantasy Game Romance,Aniplex Genco DAX_Production ASCII_Media_Works Aniplex_of_America A-1_Pictures,Matsuoka_Yoshitsugu Taketatsu_Ayana Tomatsu_Haruka 
7.35,Sword_Art_Online_II,TV,Action Game Adventure Romance Fantasy,Aniplex Genco ASCII_Media_Works Bandai_Namco_Entertainment Aniplex_of_America A-1_Pictures,Sawashiro_Miyuki Matsuoka_Yoshitsugu Yuuki_Aoi Tomatsu_Haruka 
7.00,Sword_Art_Online:_Extra_Edition,Special,Action Adventure Fantasy Game Romance,Aniplex Aniplex_of_America A-1_Pictures,Matsuoka_Yoshitsugu Taketatsu_Ayana Tomatsu_Haruka 
7.27,Suzumiya_Haruhi_no_Yuuutsu_(2009),TV,Comedy Mystery Parody Romance School Sci-Fi Slice_of_Life,Kadokawa_Shoten FUNimation_Entertainment Bandai_Entertainment Kyoto_Animation,Gotou_Yuuko Ono_Daisuke Sugita_Tomokazu Chihara_Minori Hirano_Aya 
8.06,Suzumiya_Haruhi_no_Yuuutsu,TV,Comedy Mystery Parody School Sci-Fi Slice_of_Life,Lantis Kadokawa_Shoten Kadokawa_Pictures_Japan KlockWorx FUNimation_Entertainment Bandai_Entertainment Kadokawa_Pictures_USA Kyoto_Animation,Gotou_Yuuko Ono_Daisuke Sugita_Tomokazu Chihara_Minori Hirano_Aya 
6.62,Sukitte_Ii_na_yo.:_Mei_and_Marshmallow,Special,Romance School Shoujo,Starchild_Records Sentai_Filmworks Zexcs,Kayano_Ai 
7.36,Sukitte_Ii_na_yo.:_Dareka_ga,OVA,Romance School Shoujo,Zexcs,Sakurai_Takahiro Kayano_Ai 
7.35,Subete_ga_F_ni_Naru:_The_Perfect_Insider,TV,Mystery Psychological Sci-Fi,Aniplex Dentsu Fuji_TV Kyoraku_Industrial_Holdings Kansai_Telecasting_Corporation Sentai_Filmworks A-1_Pictures,Kido_Ibuki Tanezaki_Atsumi Kase_Yasuyuki 
7.43,Strike_Witches_2,TV,Action Military Sci-Fi Magic Ecchi,NTT_Docomo 501st_JOINT_FIGHTER_WING FUNimation_Entertainment AIC_Spirits,Fukuen_Misato Seto_Saori 
7.15,Strike_Witches,TV,Action Military Sci-Fi Magic Ecchi,Kadokawa_Shoten KlockWorx NTT_Docomo 501st_JOINT_FIGHTER_WING FUNimation_Entertainment Gonzo,Nazuka_Kaori Sawashiro_Miyuki Fukuen_Misato Chiba_Saeko Tanaka_Rie 
7.71,Sukitte_Ii_na_yo.,TV,Romance School Shoujo,Starchild_Records Kodansha Magic_Capsule Yomiuri_Advertising GANSIS Sentai_Filmworks Zexcs,Sakurai_Takahiro Kayano_Ai 
7.44,Strike_the_Blood:_Valkyria_no_Oukoku-hen,OVA,Action Supernatural Ecchi Vampire Fantasy School Shounen,Movic Warner_Bros. KlockWorx ASCII_Media_Works Hakuhodo_DY_Music_&_Pictures Barnum_Studio Silver_Link. Connect,Hosoya_Yoshimasa Taneda_Risa Oonishi_Saori 
6.96,Stella_no_Mahou,TV,Slice_of_Life Comedy School,Kadokawa_Shoten AT-X flying_DOG Houbunsha Hakuhodo_DY_Music_&_Pictures Sentai_Filmworks Silver_Link.,Yuuki_Aoi Naganawa_Maria Murakawa_Rie Ozawa_Ari 
8.46,Steins;Gate:_Oukoubakko_no_Poriomania,Special,Sci-Fi Thriller,Frontier_Works FUNimation_Entertainment White_Fox,Imai_Asami Miyano_Mamoru 
9.17,Steins;Gate,TV,Sci-Fi Thriller,Frontier_Works Media_Factory Movic AT-X Kadokawa_Pictures_Japan Nitroplus FUNimation_Entertainment White_Fox,Seki_Tomokazu Imai_Asami Miyano_Mamoru Hanazawa_Kana 
8.61,Steins;Gate_Movie:_Fuka_Ryouiki_no_Déjà_vu,Movie,Sci-Fi Thriller,Frontier_Works Media_Factory Movic AT-X Kadokawa_Pictures_Japan MAGES. FUNimation_Entertainment White_Fox,Imai_Asami Miyano_Mamoru 
7.44,Strike_the_Blood,TV,Action Harem Supernatural Ecchi Vampire Fantasy School Shounen,Movic AT-X Warner_Bros. KlockWorx ASCII_Media_Works Showgate Discotek_Media Silver_Link. Connect,Hosoya_Yoshimasa Tamura_Mutsumi Taneda_Risa 
7.64,Suisei_no_Gargantia,TV,Action Sci-Fi Adventure Mecha,Bandai_Visual Yomiuri_Telecasting_Corporation Lantis Nitroplus Bushiroad Good_Smile_Company Viz_Media Production_I.G,Kanemoto_Hisako Sugita_Tomokazu Ishikawa_Kaito 
5.96,Soul_Buster,TV,Action Samurai,MAGES. Studio_Pierrot,Ryu_Seira Tanabe_Rui Mizushima_Takahiro 
7.49,Soukyuu_no_Fafner:_Right_of_Left_-_Single_Program,Special,Action Drama Mecha Military Sci-Fi,Starchild_Records Production_I.G Xebec,Kaida_Yuuko Kimura_Akiko Miyano_Mamoru Kiyasu_Kohei 
8.08,Soul_Eater,TV,Action Adventure Comedy Fantasy Shounen Supernatural,TV_Tokyo Aniplex Dentsu Media_Factory FUNimation_Entertainment Bones,Omigawa_Chiaki Kobayashi_Yumiko Miyano_Mamoru Uchiyama_Kouki Nazuka_Kaori Watanabe_Akeno Takahira_Narumi 
7.11,Sousei_no_Onmyouji,TV,Action Supernatural Fantasy Shounen,TV_Tokyo Nihon_Ad_Systems TV_Tokyo_Music Avex_Pictures Crunchyroll Studio_Pierrot,Han_Megumi Hanae_Natsuki 
6.33,Soul_Eater_NOT!,TV,Action Comedy Ecchi Shounen Supernatural,TV_Tokyo Dentsu Square_Enix Sony_Music_Communications FUNimation_Entertainment Bones,Chisuga_Haruka Hayami_Saori Yuuki_Aoi 
7.46,Soukyuu_no_Fafner:_Dead_Aggressor_-_Heaven_and_Earth,Movie,Action Drama Mecha Military Sci-Fi,FUNimation_Entertainment Xebec,Kimura_Ryouhei Ishii_Makoto 
7.44,Soukyuu_no_Fafner:_Dead_Aggressor_-_Exodus,TV,Action Drama Mecha Military Sci-Fi,Starchild_Records Mainichi_Broadcasting_System Xebec_Zwei,Ishii_Makoto Kiyasu_Kohei Matsumoto_Marika 
7.38,Soukyuu_no_Fafner:_Dead_Aggressor,TV,Action Drama Mecha Military Sci-Fi,TV_Tokyo_Music FUNimation_Entertainment Geneon_Entertainment_USA Xebec,Ishii_Makoto Kiyasu_Kohei Matsumoto_Marika 
7.33,Soukyuu_no_Fafner:_Dead_Aggressor_-_Exodus_Special,Special,Action Military Sci-Fi Drama Mecha,Xebec_Zwei,Ishii_Makoto Kiyasu_Kohei Matsumoto_Marika 
7.85,Sora_no_Otoshimono:_Forte,TV,Comedy Ecchi Harem Romance Sci-Fi Shounen Supernatural,Kadokawa_Shoten Kadokawa_Pictures_Japan KlockWorx NTT_Docomo FUNimation_Entertainment AIC_A.S.T.A.,Fukuhara_Kaori Hayami_Saori Mina Nomizu_Iori Hoshi_Soichiro Fujita_Saki Takagaki_Ayahi Suzuki_Tatsuhisa 
